time,assetCode,assetName,universe,volume,close,open,returnsClosePrevRaw1,returnsOpenPrevRaw1,returnsClosePrevRaw10,returnsOpenPrevRaw10,returnsOpenNextMktres10
2007-02-01 22:00:00+00:00,A.N,Agilent Technologies Inc,1,2606900,32.19,32.17,0.0059375,0.0053125,-0.001860465,0.000622084,0.03467204
2007-02-01 22:00:00+00:00,AAI.N,AirTran Holdings Inc,0,2051600,11.12,11.08,0.004516712,-0.007168459,-0.078707539,-0.088065844,0.02780328
2007-02-01 22:00:00+00:00,AAP.N,Advance Auto Parts Inc,1,1164800,37.51,37.99,-0.011594203,0.025647948,0.014332071,0.045404513,0.024432913
2007-02-01 22:00:00+00:00,AAPL.O,Apple Inc,1,23747329,84.74,86.23,-0.011547883,0.016323885,-0.04861345,-0.037181778,-0.007424612
2007-02-01 22:00:00+00:00,ABB.N,ABB Ltd,1,1208600,18.02,18.01,0.011791129,0.025042686,0.012928612,0.020396601,-0.01799412
2007-02-01 22:00:00+00:00,ABC.N,AmerisourceBergen Corp,1,1657300,52.37,52.4,-0.000190913,0.008468052,0.088999792,0.077745784,0.05868042
2007-02-01 22:00:00+00:00,ABD.N,ACCO Brands Corp,0,1186200,23.63,24.13,-0.020721094,-0.00740436,0.005104211,0.026808511,-0.044284582
2007-02-01 22:00:00+00:00,ABM.N,ABM Industries Inc,0,301200,26.19,25.9,0.013544892,0.014890282,0.068979592,0.047310958,0.016577781
2007-02-01 22:00:00+00:00,ABT.N,Abbott Laboratories,1,5692300,52.87,52.5,-0.00245283,-0.004739336,0.001515439,-0.004927976,0.009860691
2007-02-01 22:00:00+00:00,ABV.N,Companhia de Bebidas das Americas Ambev,1,401800,52.46,52.1,0.014111734,0.024783635,0.042320683,0.027410767,0.012917154
2007-02-01 22:00:00+00:00,ABY.N,Unknown,0,9037700,3.17,3.23,-0.024615385,0.022151899,0.178438662,0.200743494,0.016962755
2007-02-01 22:00:00+00:00,ACF.N,General Motors Financial Company Inc,1,1375200,27.25,27.24,0.004053058,0.016038791,0.108624898,0.110476967,-0.010286519
2007-02-01 22:00:00+00:00,ACH.N,Aluminum Corp of China Ltd,1,1636100,24.52,24.2,0.087843833,0.077951002,0.06469822,0.040412726,0.041577329
2007-02-01 22:00:00+00:00,ACL.N,Alcon Inc,1,255300,118.21,117.77,0.003821332,-0.000678829,-0.003120256,-0.002794242,0.084964023
2007-02-01 22:00:00+00:00,ACS.N,Affiliated Computer Services Inc,1,1302100,49.17,49.23,0.003674219,0.015051546,0.010688592,0.011090573,0.084406297
2007-02-01 22:00:00+00:00,ACTS.O,Actions Semiconductor Co Ltd,0,619929,7.74,7.92,-0.0325,-0.034146341,-0.056097561,-0.045783133,-0.097517723
2007-02-01 22:00:00+00:00,ACXM.O,Acxiom Corp,0,407032,22.94,22.8,0.010572687,0.010638298,-0.088959492,-0.089093088,-0.052525741
2007-02-01 22:00:00+00:00,AD.N,Unknown,0,299100,32.8,32.8,0.000610128,0.000915471,0.003058104,0.003979186,0.001976859
2007-02-01 22:00:00+00:00,ADBE.O,Adobe Systems Inc,1,4664955,38.76,38.91,-0.002829946,0.000771605,0.004926108,-0.014936709,0.010287212
2007-02-01 22:00:00+00:00,ADCT.O,CommScope Connectivity LLC,1,2469603,16.44,16.19,0.018587361,-0.001233806,0.096,0.093180284,0.052667628
2007-02-01 22:00:00+00:00,ADI.N,Analog Devices Inc,1,3737000,33.1,32.75,0.010687023,0.002141983,0.012542062,-0.004256613,-0.010781728
2007-02-01 22:00:00+00:00,ADM.N,Archer Daniels Midland Co,1,20659600,35.47,34.88,0.1084375,0.107301587,0.155374593,0.128802589,-0.006716183
2007-02-01 22:00:00+00:00,ADP.N,Automatic Data Processing Inc,1,3388600,48.5,48.3,0.016345348,0.022655092,0.005806719,-0.006785935,0.030655926
2007-02-01 22:00:00+00:00,ADS.N,Alliance Data Systems Corp,1,2963800,66.2,68,-0.025467393,0.018726592,0.036642656,0.062666042,-0.042950655
2007-02-01 22:00:00+00:00,ADSK.O,Autodesk Inc,1,1893829,44.26,43.74,0.012351327,0.005286141,0.027152472,-0.002963301,-0.056125709
2007-02-01 22:00:00+00:00,ADTN.O,ADTRAN Inc,1,1019674,22.23,22.16,0.003158845,-0.015111111,0.005427408,-0.006723442,0.064734055
2007-02-01 22:00:00+00:00,AEA.N,Advance America Cash Advance Centers Inc,0,185900,14.03,14.03,0.005014327,0.005734767,0.024087591,0.005014327,0.030225939
2007-02-01 22:00:00+00:00,AEE.N,Ameren Corp,1,589200,53.54,53.24,0.008096404,0.009671914,0.015361274,0.007379376,-0.009333114
2007-02-01 22:00:00+00:00,AEG.N,Aegon NV,1,272700,19.99,19.91,0.011639676,0.021025641,0.004522613,0.004540868,-0.014691113
2007-02-01 22:00:00+00:00,AEIS.O,Advanced Energy Industries Inc,0,353504,17.77,17.43,0.025389498,0.024691358,0.052101835,0.021089631,0.085301748
2007-02-01 22:00:00+00:00,AEL.N,American Equity Investment Life Holding Co,0,926900,13.12,12.82,0.024199844,-0.01308699,-0.003796507,-0.036090226,0.033978363
2007-02-01 22:00:00+00:00,AEOS.O,American Eagle Outfitters Inc,1,3780100,32.86,32.5,0.014823965,0.034043907,-0.037492677,-0.041863208,-0.048120852
2007-02-01 22:00:00+00:00,AEP.N,American Electric Power Company Inc,1,3413000,43.7,43.63,0.003905353,-0.00045819,0.042213212,0.033396495,0.045921023
2007-02-01 22:00:00+00:00,AER.N,AerCap Holdings NV,0,171800,26.86,26.6,0.011676083,0.008722033,0.033076923,0.010638298,-0.039198218
2007-02-01 22:00:00+00:00,AES.N,AES Corp,1,3599700,20.65,20.73,-0.006734007,0.000482625,-0.008641383,-0.014265335,0.062792789
2007-02-01 22:00:00+00:00,AET.N,Aetna Inc,1,2206200,42.28,42.16,0.0028463,0.00861244,0.010757829,0.012244898,0.040286903
2007-02-01 22:00:00+00:00,AF.N,Astoria Financial Corp,1,1298300,29.58,29.61,-0.000337952,-0.002358491,-0.001687479,0.003388682,-0.009457439
2007-02-01 22:00:00+00:00,AFFX.O,Affymetrix Inc,1,1623166,25.87,25.07,0.036873747,0.013748484,0.053767821,0.004809619,0.056301477
2007-02-01 22:00:00+00:00,AFG.N,American Financial Group Inc,1,602400,35.86,35.39,0.015288788,0,0.016728098,0.001698273,0.008046076
